Puzzle, Solution, BFS, A*-h1, A*-h2
ABCDEFG#IJKHMNOL, 2, 6, 3, 3
ABCDEFGHIJ#LMNKO, 2, 10, 3, 3
ABCDEFGHIJKLM#NO, 2, 10, 3, 3
ABCDEFG#IJKHMNOL, 2, 6, 3, 3
ABCDEFGHIJ#KMNOL, 2, 15, 3, 3
ABCDEFGHIJKLM#NO, 2, 10, 3, 3
ABCDEFGHIJ#LMNKO, 2, 10, 3, 3
ABCDEFGHIJKLM#NO, 2, 10, 3, 3
ABCDEFG#IJKHMNOL, 2, 6, 3, 3
ABCDEFGHIJ#KMNOL, 2, 15, 3, 3
AB#CEFGDIJKHMNOL, 4, 52, 5, 5
AB#CEFGDIJKHMNOL, 4, 52, 5, 5
AB#DEFCGIJKHMNOL, 4, 40, 5, 5
ABCDEFGHINJLM#KO, 4, 39, 5, 5
ABCDEFGHIJLOMNK#, 4, 26, 6, 5
ABCDEFGHIJOKMNL#, 4, 37, 6, 5
ABCDE#GHIFKLMJNO, 4, 44, 5, 5
AB#DEFCGIJKHMNOL, 4, 40, 5, 5
ABCDEFGH#JKLIMNO, 4, 39, 5, 5
ABCDEFGH#IKLMJNO, 4, 49, 5, 5
#AGCEBFDIJKHMNOL, 8, 730, 9, 9
AFBCE#HDIJGKMNOL, 8, 832, 9, 9
EABCIFGD#JKHMNOL, 8, 585, 9, 9
ABCDEFGH#MKLJINO, 8, 763, 29, 19
ABCDEFL#IJHGMNKO, 8, 743, 36, 18
ABCDE#GHMFJKNIOL, 8, 865, 13, 12
ABCDFGKHEI#LMJNO, 8, 877, 9, 9
ABCDEFGHMIJLNKO#, 8, 858, 14, 12
EACDB#GHIFKLMJNO, 8, 1093, 14, 13
AFBCIEGD#JKHMNOL, 8, 617, 9, 9
ABDHEFGCIJ#LMNKO, 8, 886, 30, 22
FBDHAEC#IJGKMNOL, 12, 11575, 81, 44
ABCDEGOHIJFLM#KN, 14, 56746, 506, 128
EC#DBAJHIGFLMNKO, 14, 61381, 179, 49
BGDHACF#ENJLIMKO, 16, 177669, 58, 26
BCGDAFJH#EKLINMO, 16, 267216, 389, 139
BCDHAFGOEJLKIMN#, 16, 129438, 99, 21
AFBGEJKC#NHDIMOL, 16, 206195, 237, 18
EB#CFJGDAIKHMNOL, 16, 264357, 502, 222
FCGDBAKH#EJLIMNO, 16, 277922, 336, 37
BGFCAJLDENKHI#MO, 1000000, 1145481, 1207, 157
AFCGIEBD#NKHJMOL, 1000000, 1145481, 13078, 1815
